ID,Temp_Max_Avg_VEG,Temp_Min_Avg_VEG,Temp_Avg_VEG,Diurnal_Range_Avg_VEG,Sol_Ener_Accu_VEG,Temp_Max_34_Freq_VEG,Rain_Accu_VEG,Rain_10_Freq_VEG,Temp_Min_15_Freq_VEG,Temp_Max_Avg_REP,Temp_Min_Avg_REP,Temp_Avg_REP,Diurnal_Range_Avg_REP,Sol_Ener_Accu_REP,Temp_Max_34_Freq_REP,Rain_Accu_REP,Rain_10_Freq_REP,Temp_Min_15_Freq_REP,Temp_Max_Avg_LLEN,Temp_Min_Avg_LLEN,Temp_Avg_LLEN,Diurnal_Range_Avg_LLEN,Sol_Ener_Accu_LLEN,Temp_Max_34_Freq_LLEN,Rain_Accu_LLEN,Rain_10_Freq_LLEN,Temp_Min_15_Freq_LLEN,VARIEDAD,RENDIMIENTO_HA
SACFA_2013B_5603_810,33.06086957,24.06521739,28.56304348,8.995652174,21173.88221,0.239130435,0,0,0,33.06363636,24.55909091,28.81136364,8.504545455,18321.21462,0.136363636,0,0,0,33.61621622,25.12432432,29.37027027,8.491891892,14845.21408,0.405405405,53,0.054054054,0,F2000,5000
SACFA_2013B_5647_57,33.21818182,24.05454545,28.63636364,9.163636364,19860.84958,0.25,0,0,0,32.96585366,24.30243902,28.63414634,8.663414634,18312.67866,0.146341463,0,0,0,33.59444444,25.04444444,29.31944444,8.55,14369.16343,0.361111111,0,0,0,F2000,5800
SACFA_2013B_5625_79,32.96818182,24.18181818,28.575,8.786363636,20484.65004,0.204545455,0,0,0,33.10731707,24.63902439,28.87317073,8.468292683,16856.02248,0.195121951,0,0,0,33.56111111,25.11666667,29.33888889,8.444444444,14390.79292,0.333333333,83,0.083333333,0,F2000,6030.555556
SACFA_2013B_5489_45,33.08163265,24.14285714,28.6122449,8.93877551,22246.10839,0.224489796,0,0,0,33.13617021,24.59148936,28.86382979,8.544680851,19802.9591,0.191489362,0,0,0,33.575,25.075,29.325,8.5,16245.507,0.325,98,0.1,0,F2000,6498.333333
SACFA_2013B_5489_36,33.28571429,24.97142857,29.12857143,8.314285714,19793.41581,0.224489796,113,0.102040816,0,33.64583333,25.0625,29.35416667,8.583333333,18390.88965,0.354166667,206.8,0.166666667,0,33.21,24.25888805,28.73444403,8.951111945,17887.19026,0.3,231.7,0.225,0,F2000,6504.666667
SACFA_2013B_32105_68,33.14230769,24.08461538,28.61346154,9.057692308,22233.89005,0.211538462,8.9,0,0,32.91764706,24.2627451,28.59019608,8.654901961,22554.33615,0.137254902,0,0,0,33.58571429,25.29047619,29.43809524,8.295238095,16360.83431,0.380952381,20,0.023809524,0,F2000,7500
RC11_2014_32,32.15652174,24.27391304,28.21521739,7.882608696,17133.10633,0.043478261,197.6,0.130434783,0,33.22272727,24.08181818,28.65227273,9.140909091,19725.92169,0.25,0,0,0,33.00540541,24.25405405,28.62972973,8.751351351,16947.20737,0.162162162,0,0,0,F2000,7000
RC11_2014_6,32.27391304,24.39565217,28.33478261,7.87826087,16706.0759,0.043478261,140.4,0.065217391,0,33.24090909,23.96818182,28.60454545,9.272727273,20220.95422,0.295454545,0,0,0,32.92972973,24.32432432,28.62702703,8.605405405,16217.04395,0.108108108,0,0,0,F2000,4400
RC11_2014_88,32.34782609,24.39130435,28.36956522,7.956521739,16879.86863,0.065217391,133.8,0.065217391,0,33.18636364,23.97272727,28.57954545,9.213636364,20238.56608,0.272727273,0,0,0,32.97837838,24.2972973,28.63783784,8.681081081,15975.26487,0.108108108,0,0,0,F2000,5700
RC11_2014_69,32.47826087,24.34347826,28.41086957,8.134782609,17284.70495,0.086956522,58.8,0.043478261,0,33.09545455,24.03181818,28.56363636,9.063636364,20176.43949,0.25,0,0,0,33,24.2972973,28.64864865,8.702702703,15857.29994,0.108108108,0,0,0,F2000,6300
RC11_2014_9,32.6,24.32173913,28.46086957,8.27826087,17551.30403,0.086956522,57.2,0.043478261,0,33.06363636,24.06363636,28.56363636,9,20164.39563,0.25,0,0,0,32.97837838,24.30810811,28.64324324,8.67027027,15773.03348,0.108108108,0,0,0,F2000,6000
RC11_2014_20,32.6,24.32173913,28.46086957,8.27826087,17551.30403,0.086956522,57.2,0.043478261,0,33.06363636,24.06363636,28.56363636,9,20164.39563,0.25,0,0,0,32.97837838,24.30810811,28.64324324,8.67027027,15773.03348,0.108108108,0,0,0,F2000,6000
RC11_2014_65,32.66086957,24.29565217,28.47826087,8.365217391,17656.03927,0.086956522,57.2,0.043478261,0,33.05909091,24.08181818,28.57045455,8.977272727,20127.26439,0.25,0,0,0,32.99459459,24.34054054,28.66756757,8.654054054,15710.71236,0.108108108,0,0,0,F2000,6000
RC11_2014_68,32.66086957,24.29565217,28.47826087,8.365217391,17656.03927,0.086956522,57.2,0.043478261,0,33.05909091,24.08181818,28.57045455,8.977272727,20127.26439,0.25,0,0,0,32.99459459,24.34054054,28.66756757,8.654054054,15710.71236,0.108108108,0,0,0,F2000,6300
RC11_2014_67,32.66086957,24.29565217,28.47826087,8.365217391,17656.03927,0.086956522,57.2,0.043478261,0,33.05909091,24.08181818,28.57045455,8.977272727,20127.26439,0.25,0,0,0,32.99459459,24.34054054,28.66756757,8.654054054,15710.71236,0.108108108,0,0,0,F2000,6400
RC11_2014_53,32.66086957,24.29565217,28.47826087,8.365217391,17656.03927,0.086956522,57.2,0.043478261,0,33.05909091,24.08181818,28.57045455,8.977272727,20127.26439,0.25,0,0,0,32.99459459,24.34054054,28.66756757,8.654054054,15710.71236,0.108108108,0,0,0,F2000,8000
RC11_2014_116,32.63478261,24.27391304,28.45434783,8.360869565,17711.05399,0.086956522,57.2,0.043478261,0,33.1,24.1,28.6,9,20163.66307,0.25,0,0,0,33.00540541,24.37837838,28.69189189,8.627027027,15636.60544,0.108108108,0,0,0,F2000,5600
RC11_2014_57,32.63913043,24.16086957,28.4,8.47826087,17872.30981,0.086956522,50.5,0.043478261,0,33.14545455,24.20909091,28.67727273,8.936363636,20265.03549,0.25,0,0,0,32.97297297,24.41081081,28.69189189,8.562162162,15501.70326,0.108108108,0,0,0,F2000,5500
RC11_2014_86,32.63913043,24.16086957,28.4,8.47826087,17872.30981,0.086956522,50.5,0.043478261,0,33.14545455,24.20909091,28.67727273,8.936363636,20265.03549,0.25,0,0,0,32.97297297,24.41081081,28.69189189,8.562162162,15501.70326,0.108108108,0,0,0,F2000,6000
RC11_2014_12,32.63913043,24.16086957,28.4,8.47826087,17872.30981,0.086956522,50.5,0.043478261,0,33.14545455,24.20909091,28.67727273,8.936363636,20265.03549,0.25,0,0,0,32.97297297,24.41081081,28.69189189,8.562162162,15501.70326,0.108108108,0,0,0,F2000,6100
RC11_2014_23,32.83478261,24.10434783,28.46956522,8.730434783,18332.85259,0.130434783,50.5,0.043478261,0,33,24.24545455,28.62272727,8.754545455,19995.35783,0.204545455,0,0,0,33.1027027,24.5027027,28.8027027,8.6,15660.36166,0.162162162,0,0,0,F2000,6000
RC11_2014_80,32.83478261,24.10434783,28.46956522,8.730434783,18332.85259,0.130434783,50.5,0.043478261,0,33,24.24545455,28.62272727,8.754545455,19995.35783,0.204545455,0,0,0,33.1027027,24.5027027,28.8027027,8.6,15660.36166,0.162162162,0,0,0,F2000,6100
RC11_2014_10,32.83913043,24.06086957,28.45,8.77826087,18422.69484,0.152173913,50.5,0.043478261,0,32.9,24.26363636,28.58181818,8.636363636,20000.57853,0.159090909,0,0,0,33.14054054,24.47567568,28.80810811,8.664864865,15540.38863,0.162162162,0,0,0,F2000,6000
RC11_2014_22,32.83913043,24.06086957,28.45,8.77826087,18422.69484,0.152173913,50.5,0.043478261,0,32.9,24.26363636,28.58181818,8.636363636,20000.57853,0.159090909,0,0,0,33.14054054,24.47567568,28.80810811,8.664864865,15540.38863,0.162162162,0,0,0,F2000,7000
RC11_2014_58,32.84782609,24.03913043,28.44347826,8.808695652,18355.67953,0.152173913,50.5,0.043478261,0,32.87727273,24.27727273,28.57727273,8.6,20036.17805,0.159090909,0,0,0,33.11891892,24.50810811,28.81351351,8.610810811,15464.2866,0.162162162,0,0,0,F2000,6500
RC11_2014_21,32.85217391,24.00434783,28.42826087,8.847826087,18321.41099,0.152173913,50.5,0.043478261,0,32.90454545,24.28181818,28.59318182,8.622727273,20133.85819,0.159090909,0,0,0,33.0972973,24.53513514,28.81621622,8.562162162,15249.48345,0.162162162,0,0,0,F2000,5500
